word,start,end,case
as,1.18,1.42,success
i,1.42,1.5799999999999998,success
always,1.58,1.9500000000000002,success
say,1.95,2.54,success
i,2.72,3.1,success
handle,3.11,3.53,success
the,3.53,3.6399999999999997,success
full,3.64,3.97,success
life,3.97,4.25,success
cycle,4.25,4.87,success
you,5.33,5.65,success
know,5.65,5.78,success
that,5.78,6.0,success
line,6.0,6.34,success
right,6.34,6.75,success
i,7.33,7.5200000000000005,success
design,7.52,8.11,success
i,8.11,8.24,success
implement,8.27,8.74,success
i,8.76,8.91,success
ship,8.91,9.35,success
well,9.7,10.129999999999999,success
i,10.55,10.75,success
help,10.75,11.08,success
design,11.08,11.67,success
i,12.179999,12.369999,success
implement,12.41,12.93,success
certain,13.049999,13.809999,success
components,13.809999,14.599999,success
and,15.16,15.38,success
i,15.38,15.48,success
ship,15.49,15.81,success
some,15.809999,16.009999,success
features,16.01,16.560000000000002,success
the,18.440001,18.610001,success
life,18.609999,18.949999,success
cycle,18.949999,19.599998999999997,success
is,19.749998999999995,19.909998999999996,success
a,19.909998999999996,20.039998999999998,success
team,20.099998999999997,20.569998999999996,success
thing,20.579998999999997,21.099998999999997,success
so,21.399998999999998,21.619998999999996,success
when,21.619998999999996,21.649998999999998,success
i,21.92,22.1,success
say,22.1,22.630000000000003,success
i,22.86,23.11,success
handled,23.12,23.650000000000002,success
it,23.65,23.959999999999997,success
i,24.11,24.27,success
mean,24.27,24.72,success
i,25.11,25.28,success
handled,25.28,25.76,success
part,25.82,26.12,success
of,26.119999999999997,26.24,success
it,26.240000000000002,26.520000000000003,success
it's,27.3,27.650000000000002,success
cleaner,27.75,28.28,success
to,28.28,28.44,success
tell,28.439999999999998,28.72,success
it,28.719999,28.859999000000002,success
like,28.86,29.14,success
that,29.139999,29.639999,success
