start,end,is_speech
0.0,0.15,False
0.15,1.17,True
1.17,1.95,False
1.95,2.7,True
2.7,2.94,False
2.94,4.14,True
4.14,4.56,False
4.56,5.7,True
5.7,6.63,False
6.63,7.35,True
7.35,7.86,False
7.86,11.28,True
11.28,12.0,False
12.0,14.28,True
14.28,14.55,False
14.55,16.56,True
16.56,17.79,False
17.79,19.8,True
19.8,20.13,False
20.13,21.63,True
21.63,21.9,False
21.9,24.36,True
24.36,25.02,False
25.02,28.44,True
28.44,29.37,False
29.37,30.27,True
30.27,30.45,False
30.45,31.77,True
31.77,32.4,False
32.4,32.43,True
